event_date,active_monitored_patients,monitoring_events,abnormal_vital_events,high_risk_patients,late_arriving_records,out_of_order_events
2024-06-21,12,12,0,0,0,0
2025-04-04,10,10,0,0,0,0
2024-02-26,13,13,0,0,0,0
2024-01-27,16,16,0,0,0,0
2025-04-28,16,16,0,0,0,0
2025-01-25,11,11,0,0,0,0
2024-01-23,17,17,0,0,0,0
2024-02-03,19,19,0,0,0,0
2025-04-03,13,13,0,0,0,0
2024-02-06,10,10,0,0,0,0
2025-02-24,20,20,0,0,0,0
2024-02-19,9,9,0,0,0,0
2025-04-12,18,18,0,0,0,0
2025-08-04,13,13,0,0,0,0
2024-02-07,22,22,0,0,0,0
2025-12-25,17,17,0,0,0,0
2025-12-02,14,14,0,0,0,0
2024-02-08,13,13,0,0,0,0
2024-04-10,13,13,0,0,0,0
2024-12-31,13,13,0,0,0,0
2024-08-19,18,18,0,0,0,0
2024-02-04,19,19,0,0,0,0
2024-02-09,11,11,0,0,0,0
2024-02-28,20,20,0,0,0,0
2024-02-11,10,10,0,0,0,0
2024-06-14,15,15,0,0,0,0
2024-02-12,14,14,0,0,0,0
2024-08-12,20,20,0,0,0,0
2024-02-14,8,8,0,0,0,0
2024-09-25,15,15,0,0,0,0
2024-02-15,15,15,0,0,0,0
2024-03-01,15,15,0,0,0,0
2024-02-13,5,5,0,0,0,0
2025-03-27,11,11,0,0,0,0
2024-02-17,14,14,0,0,0,0
2024-02-20,14,14,0,0,0,0
2024-02-27,12,12,0,0,0,0
2025-12-06,13,13,0,0,0,0
2024-05-06,14,14,0,0,0,0
2024-02-22,21,21,0,0,0,0
2025-07-14,19,19,0,0,0,0
2024-02-29,11,11,0,0,0,0
2025-03-09,13,13,0,0,0,0
2024-05-29,14,14,0,0,0,0
2024-03-04,11,11,0,0,0,0
2024-02-24,9,9,0,0,0,0
2024-03-06,17,17,0,0,0,0
2025-04-13,9,9,0,0,0,0
2024-07-05,16,16,0,0,0,0
2024-03-07,17,17,0,0,0,0
2024-04-11,17,17,0,0,0,0
2024-06-05,10,10,0,0,0,0
2024-07-30,12,12,0,0,0,0
2024-03-21,17,17,0,0,0,0
2024-03-09,12,12,0,0,0,0
2025-01-12,9,9,0,0,0,0
2024-03-05,14,14,0,0,0,0
2024-05-14,25,25,0,0,0,0
2024-12-25,14,14,0,0,0,0
2024-03-11,5,5,0,0,0,0
2025-02-27,10,10,0,0,0,0
2024-05-01,13,13,0,0,0,0
2025-12-22,10,11,0,0,0,0
2024-03-12,11,11,0,0,0,0
2025-02-09,13,13,0,0,0,0
2024-03-08,15,15,0,0,0,0
2025-11-14,11,11,0,0,0,0
2024-03-13,10,10,0,0,0,0
2025-10-26,17,17,0,0,0,0
2024-11-03,21,21,0,0,0,0
2024-03-14,9,9,0,0,0,0
2024-08-11,12,12,0,0,0,0
2025-05-26,13,13,0,0,0,0
2024-03-16,18,18,0,0,0,0
2025-01-11,16,16,0,0,0,0
2024-03-17,20,20,0,0,0,0
2024-12-18,16,16,0,0,0,0
2024-11-12,14,14,0,0,0,0
2024-03-20,23,23,0,0,0,0
2024-07-31,8,8,0,0,0,0
2024-12-03,15,15,0,0,0,0
2024-03-15,13,13,0,0,0,0
2024-11-20,19,19,0,0,0,0
2024-03-19,21,21,0,0,0,0
2025-12-26,9,9,0,0,0,0
2024-03-18,18,18,0,0,0,0
2024-09-18,13,13,0,0,0,0
2024-03-22,18,18,0,0,0,0
2024-11-05,11,11,0,0,0,0
2024-03-23,20,20,0,0,0,0
2024-03-24,13,13,0,0,0,0
2025-12-17,8,8,0,0,0,0
2025-12-07,16,16,0,0,0,0
2024-03-25,14,14,0,0,0,0
2024-10-03,14,14,0,0,0,0
2024-03-26,15,15,0,0,0,0
2025-05-17,13,13,0,0,0,0
2024-03-28,7,7,0,0,0,0
2024-12-22,8,8,0,0,0,0
2025-07-21,14,14,0,0,0,0
2024-03-31,14,14,0,0,0,0
2024-03-27,10,10,0,0,0,0
2024-04-02,13,13,0,0,0,0
2024-04-03,14,14,0,0,0,0
2025-01-02,10,10,0,0,0,0
2025-12-30,19,19,0,0,0,0
2024-03-29,13,13,0,0,0,0
2025-08-19,15,15,0,0,0,0
2024-03-30,16,16,0,0,0,0
2024-12-15,14,14,0,0,0,0
2025-08-09,9,9,0,0,0,0
2024-12-12,8,8,0,0,0,0
2024-04-04,17,17,0,0,0,0
2025-08-13,15,15,0,0,0,0
2024-04-06,16,16,0,0,0,0
2024-04-01,15,15,0,0,0,0
2024-07-13,12,12,0,0,0,0
2024-04-07,15,15,0,0,0,0
2024-04-17,12,12,0,0,0,0
2024-04-05,10,10,0,0,0,0
2024-12-04,15,15,0,0,0,0
2024-12-28,11,11,0,0,0,0
2025-12-19,17,17,0,0,0,0
2024-04-08,8,8,0,0,0,0
2025-04-10,16,16,0,0,0,0
2025-07-29,18,18,0,0,0,0
2024-04-12,16,16,0,0,0,0
2024-12-17,13,13,0,0,0,0
2024-04-13,15,15,0,0,0,0
2024-04-14,13,13,0,0,0,0
2024-06-19,18,18,0,0,0,0
2025-11-20,13,13,0,0,0,0
2024-05-31,10,10,0,0,0,0
2025-09-09,15,15,0,0,0,0
2024-05-19,10,10,0,0,0,0
2025-11-24,13,13,0,0,0,0
2024-04-16,9,9,0,0,0,0
2024-08-31,13,13,0,0,0,0
2024-04-15,8,8,0,0,0,0
2024-04-09,8,8,0,0,0,0
2025-10-28,18,18,0,0,0,0
2025-05-11,14,14,0,0,0,0
2024-04-18,16,16,0,0,0,0
2024-04-19,23,23,0,0,0,0
2024-04-20,18,18,0,0,0,0
2025-02-11,11,11,0,0,0,0
2024-06-25,12,12,0,0,0,0
2024-04-21,18,18,0,0,0,0
2024-04-24,11,11,0,0,0,0
2024-11-10,19,19,0,0,0,0
2024-10-30,14,14,0,0,0,0
2024-06-03,16,16,0,0,0,0
2024-04-25,16,16,0,0,0,0
2025-04-21,17,17,0,0,0,0
2024-04-22,17,17,0,0,0,0
2024-04-23,10,10,0,0,0,0
2025-03-22,5,5,0,0,0,0
2024-04-27,18,18,0,0,0,0
2024-04-28,13,13,0,0,0,0
2024-04-30,12,12,0,0,0,0
2024-05-22,9,9,0,0,0,0
2025-01-09,18,18,0,0,0,0
2024-07-18,8,8,0,0,0,0
2024-11-21,14,14,0,0,0,0
2024-11-28,13,13,0,0,0,0
2025-09-05,12,12,0,0,0,0
2024-05-02,16,16,0,0,0,0
2024-04-29,14,14,0,0,0,0
2024-05-05,18,18,0,0,0,0
2024-05-04,12,12,0,0,0,0
2025-09-24,14,14,0,0,0,0
2025-01-21,13,14,0,0,0,0
2024-05-08,11,11,0,0,0,0
2024-06-30,17,17,0,0,0,0
2024-05-09,16,16,0,0,0,0
2025-04-05,10,10,0,0,0,0
2025-12-23,14,14,0,0,0,0
2025-01-14,13,13,0,0,0,0
2024-11-17,11,11,0,0,0,0
2024-05-07,19,19,0,0,0,0
2024-05-12,10,10,0,0,0,0
2025-03-02,13,13,0,0,0,0
2025-06-10,13,13,0,0,0,0
2024-05-11,12,12,0,0,0,0
2025-12-15,17,17,0,0,0,0
2024-09-03,17,17,0,0,0,0
2025-03-21,14,14,0,0,0,0
2024-05-15,15,15,0,0,0,0
2024-06-22,11,11,0,0,0,0
2024-05-16,16,16,0,0,0,0
2024-10-01,9,9,0,0,0,0
2024-05-17,16,16,0,0,0,0
2024-10-21,11,11,0,0,0,0
2024-05-18,15,15,0,0,0,0
2024-07-20,11,11,0,0,0,0
2025-10-11,13,13,0,0,0,0
2024-12-06,14,14,0,0,0,0
2024-05-20,13,13,0,0,0,0
2024-08-21,15,15,0,0,0,0
2025-09-17,18,18,0,0,0,0
2024-05-24,14,14,0,0,0,0
2025-03-30,19,19,0,0,0,0
2024-05-25,8,8,0,0,0,0
2024-11-24,12,12,0,0,0,0
2024-10-16,16,16,0,0,0,0
2024-05-21,14,14,0,0,0,0
2024-05-30,13,13,0,0,0,0
2024-07-06,11,11,0,0,0,0
2024-05-26,15,15,0,0,0,0
2024-10-23,10,10,0,0,0,0
2024-05-28,13,13,0,0,0,0
2024-06-02,7,7,0,0,0,0
2025-03-18,8,8,0,0,0,0
2025-05-03,19,19,0,0,0,0
2024-06-04,17,17,0,0,0,0
2024-11-01,13,13,0,0,0,0
2024-06-06,15,15,0,0,0,0
2025-08-12,13,13,0,0,0,0
2024-06-07,10,10,0,0,0,0
2024-06-08,12,12,0,0,0,0
2025-02-19,11,11,0,0,0,0
2024-06-09,16,16,0,0,0,0
2025-01-05,9,9,0,0,0,0
2025-12-13,11,11,0,0,0,0
2025-12-04,16,16,0,0,0,0
2024-06-13,13,13,0,0,0,0
2024-07-01,24,24,0,0,0,0
2024-06-10,12,12,0,0,0,0
2024-06-15,12,12,0,0,0,0
2024-06-12,17,17,0,0,0,0
2025-10-03,16,16,0,0,0,0
2024-06-17,21,21,0,0,0,0
2024-06-18,10,10,0,0,0,0
2024-11-06,9,9,0,0,0,0
2024-06-20,10,10,0,0,0,0
2024-08-15,13,13,0,0,0,0
2024-08-24,11,11,0,0,0,0
2025-11-29,9,9,0,0,0,0
2025-09-07,8,8,0,0,0,0
2024-06-24,13,13,0,0,0,0
2024-06-26,12,12,0,0,0,0
2024-07-02,25,25,0,0,0,0
2024-11-07,7,7,0,0,0,0
2024-06-29,20,20,0,0,0,0
2024-06-28,14,14,0,0,0,0
2024-07-03,20,20,0,0,0,0
2024-07-24,13,13,0,0,0,0
2024-06-27,8,8,0,0,0,0
2024-10-28,16,16,0,0,0,0
2024-07-04,18,18,0,0,0,0
2024-07-07,12,12,0,0,0,0
2024-07-09,13,13,0,0,0,0
2025-05-15,10,10,0,0,0,0
2024-07-08,22,22,0,0,0,0
2024-10-14,12,12,0,0,0,0
2024-07-11,12,12,0,0,0,0
2024-07-10,17,17,0,0,0,0
2024-09-19,10,10,0,0,0,0
2025-07-24,15,15,0,0,0,0
2024-07-12,16,16,0,0,0,0
2025-01-10,11,11,0,0,0,0
2024-07-16,11,11,0,0,0,0
2024-07-17,15,15,0,0,0,0
2024-07-15,14,14,0,0,0,0
2024-07-19,17,17,0,0,0,0
2024-07-22,16,16,0,0,0,0
2024-07-21,17,17,0,0,0,0
2024-08-04,14,14,0,0,0,0
2025-03-01,10,10,0,0,0,0
2024-07-26,11,11,0,0,0,0
2024-07-27,23,23,0,0,0,0
2025-05-23,13,13,0,0,0,0
2024-07-25,21,21,0,0,0,0
2025-10-15,13,13,0,0,0,0
2025-08-17,9,9,0,0,0,0
2024-07-28,8,8,0,0,0,0
2024-08-02,9,9,0,0,0,0
2024-08-01,8,8,0,0,0,0
2025-02-13,18,18,0,0,0,0
2025-10-09,10,10,0,0,0,0
2024-08-03,13,13,0,0,0,0
2024-08-05,14,14,0,0,0,0
2024-08-27,17,17,0,0,0,0
2025-02-05,6,6,0,0,0,0
2024-10-26,16,16,0,0,0,0
2024-08-07,14,14,0,0,0,0
2024-12-02,14,14,0,0,0,0
2024-11-11,17,17,0,0,0,0
2024-08-06,10,10,0,0,0,0
2024-08-09,14,14,0,0,0,0
2024-12-05,11,11,0,0,0,0
2024-08-10,14,14,0,0,0,0
2024-09-01,10,10,0,0,0,0
2024-09-12,10,10,0,0,0,0
2024-08-08,11,11,0,0,0,0
2025-04-06,13,13,0,0,0,0
2025-11-03,13,13,0,0,0,0
2024-08-14,11,11,0,0,0,0
2025-09-06,14,14,0,0,0,0
2024-08-16,10,10,0,0,0,0
2024-10-13,9,9,0,0,0,0
2024-08-17,15,15,0,0,0,0
2024-11-04,13,13,0,0,0,0
2024-08-13,11,11,0,0,0,0
2025-08-14,10,10,0,0,0,0
2024-08-20,11,11,0,0,0,0
2024-08-18,14,14,0,0,0,0
2024-08-22,14,14,0,0,0,0
2024-09-24,15,15,0,0,0,0
2025-08-28,15,15,0,0,0,0
2025-08-25,15,15,0,0,0,0
2024-08-25,17,17,0,0,0,0
2024-08-23,12,12,0,0,0,0
2024-08-26,10,10,0,0,0,0
2024-08-28,15,15,0,0,0,0
2025-02-02,11,11,0,0,0,0
2024-08-30,14,14,0,0,0,0
2024-09-05,12,12,0,0,0,0
2024-09-06,13,13,0,0,0,0
2024-09-07,20,20,0,0,0,0
2024-09-13,5,5,0,0,0,0
2025-02-01,15,15,0,0,0,0
2025-11-21,9,9,0,0,0,0
2024-09-28,16,16,0,0,0,0
2024-09-02,17,17,0,0,0,0
2024-09-04,6,6,0,0,0,0
2025-04-11,15,16,0,0,0,0
2024-09-11,13,13,0,0,0,0
2024-09-09,10,10,0,0,0,0
2025-04-08,19,19,0,0,0,0
2024-09-14,10,10,0,0,0,0
2024-09-10,13,13,0,0,0,0
2024-09-15,11,11,0,0,0,0
2025-12-27,12,12,0,0,0,0
2024-12-08,15,15,0,0,0,0
2024-09-16,17,17,0,0,0,0
2024-09-17,14,14,0,0,0,0
2024-09-20,14,14,0,0,0,0
2024-09-23,16,16,0,0,0,0
2024-09-27,17,17,0,0,0,0
2024-09-29,15,15,0,0,0,0
2024-09-26,9,9,0,0,0,0
2024-12-30,6,6,0,0,0,0
2024-09-30,12,13,0,0,0,0
2024-09-22,12,12,0,0,0,0
2024-10-02,14,14,0,0,0,0
2024-07-23,14,14,0,0,0,0
2024-10-04,19,19,0,0,0,0
2024-10-05,15,15,0,0,0,0
2024-10-06,18,18,0,0,0,0
2024-10-07,13,13,0,0,0,0
2024-10-10,14,14,0,0,0,0
2025-03-06,20,20,0,0,0,0
2024-10-12,14,15,0,0,0,0
2024-10-18,18,18,0,0,0,0
2024-11-19,24,24,0,0,0,0
2025-03-08,17,17,0,0,0,0
2024-10-11,7,7,0,0,0,0
2025-01-03,18,18,0,0,0,0
2024-10-15,18,18,0,0,0,0
2025-11-16,7,7,0,0,0,0
2024-10-22,13,13,0,0,0,0
2024-10-17,11,11,0,0,0,0
2025-03-23,24,24,0,0,0,0
2024-10-19,8,8,0,0,0,0
2024-10-20,10,10,0,0,0,0
2024-10-25,13,13,0,0,0,0
2025-06-30,14,14,0,0,0,0
2024-10-27,10,10,0,0,0,0
2024-10-24,17,17,0,0,0,0
2025-09-11,15,15,0,0,0,0
2024-10-31,9,9,0,0,0,0
2024-10-29,15,15,0,0,0,0
2025-07-03,8,8,0,0,0,0
2024-10-08,16,16,0,0,0,0
2025-09-22,15,15,0,0,0,0
2024-11-15,10,10,0,0,0,0
2024-11-02,12,12,0,0,0,0
2025-05-04,15,15,0,0,0,0
2024-11-08,15,15,0,0,0,0
2024-11-13,12,12,0,0,0,0
2025-07-28,13,13,0,0,0,0
2024-11-14,10,10,0,0,0,0
2024-12-20,16,16,0,0,0,0
2024-11-16,13,13,0,0,0,0
2024-11-18,13,13,0,0,0,0
2025-09-18,11,11,0,0,0,0
2024-11-22,10,10,0,0,0,0
2024-11-23,14,14,0,0,0,0
2024-11-26,13,13,0,0,0,0
2024-11-27,13,13,0,0,0,0
2024-11-25,14,14,0,0,0,0
2025-02-18,10,10,0,0,0,0
2025-08-21,14,14,0,0,0,0
2024-11-29,8,8,0,0,0,0
2024-11-30,11,11,0,0,0,0
2024-12-01,11,11,0,0,0,0
2024-11-09,15,15,0,0,0,0
2024-12-10,23,23,0,0,0,0
2024-12-07,14,14,0,0,0,0
2025-01-08,16,16,0,0,0,0
2024-12-11,19,19,0,0,0,0
2024-12-13,10,10,0,0,0,0
2024-12-09,18,18,0,0,0,0
2025-02-03,7,7,0,0,0,0
2024-12-16,4,4,0,0,0,0
2025-12-20,14,14,0,0,0,0
2024-12-19,15,15,0,0,0,0
2024-12-14,23,23,0,0,0,0
2024-12-21,15,15,0,0,0,0
2025-11-13,16,16,0,0,0,0
2024-12-24,13,13,0,0,0,0
2024-12-23,5,5,0,0,0,0
2025-10-19,16,16,0,0,0,0
2024-12-26,15,15,0,0,0,0
2025-03-24,10,10,0,0,0,0
2025-08-27,14,14,0,0,0,0
2024-12-27,11,11,0,0,0,0
2025-01-01,14,14,0,0,0,0
2025-09-29,8,8,0,0,0,0
2024-12-29,13,13,0,0,0,0
2025-01-06,10,10,0,0,0,0
2025-01-07,9,9,0,0,0,0
2025-02-20,13,13,0,0,0,0
2025-01-13,12,12,0,0,0,0
2025-01-18,21,21,0,0,0,0
2025-04-24,15,15,0,0,0,0
2025-01-15,13,13,0,0,0,0
2025-01-17,17,17,0,0,0,0
2025-04-23,14,14,0,0,0,0
2025-08-30,16,16,0,0,0,0
2025-01-04,14,14,0,0,0,0
2025-01-19,15,15,0,0,0,0
2025-01-28,13,13,0,0,0,0
2025-01-20,11,11,0,0,0,0
2025-02-28,7,7,0,0,0,0
2025-01-22,14,14,0,0,0,0
2025-01-29,8,8,0,0,0,0
2025-01-30,17,17,0,0,0,0
2025-01-24,13,13,0,0,0,0
2025-01-31,17,17,0,0,0,0
2025-10-30,16,16,0,0,0,0
2025-07-12,13,13,0,0,0,0
2025-02-06,10,10,0,0,0,0
2025-10-13,19,20,0,0,0,0
2025-02-07,14,14,0,0,0,0
2025-11-30,14,14,0,0,0,0
2025-02-04,6,6,0,0,0,0
2025-09-15,10,10,0,0,0,0
2025-04-26,8,8,0,0,0,0
2025-02-14,15,15,0,0,0,0
2025-04-17,15,16,0,0,0,0
2025-02-08,18,18,0,0,0,0
2025-02-17,7,7,0,0,0,0
2025-04-19,19,19,0,0,0,0
2025-02-21,17,17,0,0,0,0
2025-02-23,18,18,0,0,0,0
2025-01-23,14,14,0,0,0,0
2025-02-25,15,15,0,0,0,0
2025-02-26,5,5,0,0,0,0
2025-02-22,15,15,0,0,0,0
2025-03-03,21,21,0,0,0,0
2025-03-04,5,5,0,0,0,0
2025-03-05,18,18,0,0,0,0
2025-03-10,21,21,0,0,0,0
2025-04-22,11,11,0,0,0,0
2025-09-14,16,16,0,0,0,0
2025-03-19,8,8,0,0,0,0
2025-03-07,9,9,0,0,0,0
2025-03-11,13,13,0,0,0,0
2025-03-12,16,16,0,0,0,0
2025-03-13,14,14,0,0,0,0
2025-03-15,19,19,0,0,0,0
2025-03-16,27,27,0,0,0,0
2025-05-12,13,13,0,0,0,0
2025-03-20,10,10,0,0,0,0
2025-03-26,11,11,0,0,0,0
2025-03-25,12,12,0,0,0,0
2025-03-28,8,8,0,0,0,0
2025-03-29,13,13,0,0,0,0
2025-04-01,12,12,0,0,0,0
2025-05-25,10,10,0,0,0,0
2025-04-02,14,14,0,0,0,0
2025-04-07,15,15,0,0,0,0
2025-01-27,18,18,0,0,0,0
2025-04-09,14,14,0,0,0,0
2025-08-02,12,12,0,0,0,0
2025-07-27,14,14,0,0,0,0
2025-03-17,12,12,0,0,0,0
2025-09-01,14,14,0,0,0,0
2025-04-14,17,17,0,0,0,0
2025-04-15,10,10,0,0,0,0
2025-10-01,13,13,0,0,0,0
2025-04-16,10,10,0,0,0,0
2025-04-27,15,15,0,0,0,0
2025-06-13,12,12,0,0,0,0
2025-04-18,19,19,0,0,0,0
2025-04-25,11,11,0,0,0,0
2025-04-30,12,12,0,0,0,0
2025-05-01,16,16,0,0,0,0
2025-04-29,15,15,0,0,0,0
2025-06-25,13,13,0,0,0,0
2025-06-21,19,19,0,0,0,0
2025-05-02,16,16,0,0,0,0
2025-05-06,14,14,0,0,0,0
2025-05-05,16,16,0,0,0,0
2025-11-25,17,17,0,0,0,0
2025-05-07,10,10,0,0,0,0
2025-05-08,6,6,0,0,0,0
2025-05-20,7,7,0,0,0,0
2025-05-14,14,14,0,0,0,0
2025-05-09,9,9,0,0,0,0
2025-05-13,8,8,0,0,0,0
2025-05-18,16,16,0,0,0,0
2025-06-07,11,11,0,0,0,0
2025-05-16,13,13,0,0,0,0
2025-05-24,10,10,0,0,0,0
2025-05-27,14,14,0,0,0,0
2025-05-29,20,20,0,0,0,0
2025-06-02,15,15,0,0,0,0
2025-06-01,14,14,0,0,0,0
2025-06-03,15,15,0,0,0,0
2025-05-30,7,7,0,0,0,0
2025-06-04,20,20,0,0,0,0
2025-05-31,13,13,0,0,0,0
2025-02-15,18,18,0,0,0,0
2025-06-09,10,10,0,0,0,0
2025-06-08,13,13,0,0,0,0
2025-06-12,11,11,0,0,0,0
2025-06-06,19,19,0,0,0,0
2025-06-19,17,17,0,0,0,0
2025-06-15,21,22,0,0,0,0
2025-06-18,15,15,0,0,0,0
2025-06-16,11,11,0,0,0,0
2025-06-23,11,11,0,0,0,0
2025-06-24,15,15,0,0,0,0
2025-06-20,7,7,0,0,0,0
2025-06-26,10,10,0,0,0,0
2025-06-27,12,12,0,0,0,0
2025-06-28,13,13,0,0,0,0
2025-07-01,10,10,0,0,0,0
2025-06-29,15,15,0,0,0,0
2025-06-17,16,16,0,0,0,0
2025-06-11,23,23,0,0,0,0
2025-07-04,10,10,0,0,0,0
2025-07-02,17,17,0,0,0,0
2025-07-05,21,21,0,0,0,0
2025-07-06,16,16,0,0,0,0
2025-07-08,13,13,0,0,0,0
2025-07-11,8,8,0,0,0,0
2025-07-07,13,13,0,0,0,0
2025-07-13,19,19,0,0,0,0
2025-11-06,16,16,0,0,0,0
2025-07-10,13,13,0,0,0,0
2025-07-09,13,13,0,0,0,0
2025-07-16,14,14,0,0,0,0
2025-12-28,15,15,0,0,0,0
2025-07-19,11,11,0,0,0,0
2025-07-15,14,14,0,0,0,0
2025-07-17,13,13,0,0,0,0
2025-07-20,13,13,0,0,0,0
2025-07-23,10,10,0,0,0,0
2025-07-22,13,13,0,0,0,0
2025-11-22,17,17,0,0,0,0
2025-07-25,14,14,0,0,0,0
2025-07-26,17,17,0,0,0,0
2025-08-01,14,14,0,0,0,0
2025-08-05,11,11,0,0,0,0
2025-07-31,18,18,0,0,0,0
2025-08-06,15,15,0,0,0,0
2025-08-03,13,13,0,0,0,0
2025-08-08,17,17,0,0,0,0
2025-07-30,20,20,0,0,0,0
2025-08-07,7,7,0,0,0,0
2025-08-10,10,10,0,0,0,0
2025-08-11,14,14,0,0,0,0
2025-08-15,16,16,0,0,0,0
2025-08-16,11,11,0,0,0,0
2025-08-18,15,15,0,0,0,0
2025-12-11,14,14,0,0,0,0
2025-11-09,15,15,0,0,0,0
2025-08-20,10,10,0,0,0,0
2025-11-05,13,13,0,0,0,0
2025-08-22,17,17,0,0,0,0
2025-08-23,15,15,0,0,0,0
2025-08-26,11,11,0,0,0,0
2025-08-24,19,19,0,0,0,0
2025-11-19,12,12,0,0,0,0
2025-09-02,14,14,0,0,0,0
2025-08-29,15,15,0,0,0,0
2025-09-04,15,15,0,0,0,0
2025-09-03,24,24,0,0,0,0
2025-09-08,16,16,0,0,0,0
2025-09-10,14,14,0,0,0,0
2025-09-16,19,19,0,0,0,0
2025-10-22,11,11,0,0,0,0
2025-09-13,13,13,0,0,0,0
2025-09-20,12,12,0,0,0,0
2025-09-19,20,20,0,0,0,0
2025-09-21,14,14,0,0,0,0
2025-09-23,6,6,0,0,0,0
2025-09-25,8,8,0,0,0,0
2025-09-27,17,17,0,0,0,0
2025-09-28,13,13,0,0,0,0
2025-09-26,12,12,0,0,0,0
2025-09-30,15,15,0,0,0,0
2025-10-02,15,15,0,0,0,0
2025-10-04,13,13,0,0,0,0
2025-12-03,12,12,0,0,0,0
2025-10-06,14,14,0,0,0,0
2025-10-08,12,12,0,0,0,0
2025-10-05,15,15,0,0,0,0
2025-10-10,11,11,0,0,0,0
2025-10-07,16,16,0,0,0,0
2025-10-12,10,10,0,0,0,0
2025-11-28,20,20,0,0,0,0
2025-10-17,17,17,0,0,0,0
2025-10-14,12,12,0,0,0,0
2025-10-21,18,18,0,0,0,0
2025-10-16,13,13,0,0,0,0
2025-10-18,8,8,0,0,0,0
2025-10-20,18,18,0,0,0,0
2025-10-25,13,13,0,0,0,0
2025-10-23,12,12,0,0,0,0
2025-12-18,14,14,0,0,0,0
2025-10-27,12,13,0,0,0,0
2025-10-29,15,15,0,0,0,0
2025-10-31,11,11,0,0,0,0
2025-11-02,16,16,0,0,0,0
2025-11-07,11,11,0,0,0,0
2025-11-04,4,4,0,0,0,0
2025-11-11,14,14,0,0,0,0
2025-11-08,10,10,0,0,0,0
2025-11-10,13,13,0,0,0,0
2025-11-15,12,12,0,0,0,0
2025-11-12,11,11,0,0,0,0
2025-11-18,15,15,0,0,0,0
2025-11-26,20,20,0,0,0,0
2025-12-01,11,11,0,0,0,0
2025-11-27,11,11,0,0,0,0
2025-12-05,18,18,0,0,0,0
2025-12-08,17,17,0,0,0,0
2025-12-10,12,12,0,0,0,0
2025-12-14,12,12,0,0,0,0
2025-12-09,13,13,0,0,0,0
2025-12-12,9,9,0,0,0,0
2025-12-16,16,16,0,0,0,0
2025-12-21,9,9,0,0,0,0
2025-12-29,10,10,0,0,0,0
NaT,17,17,0,0,0,0
